06-07-2019 01:55:38.202,-,API,"CoordinadorTemporal,0013A2004180A081,ZIGBEE TH Reg,4060,/dev/ttyUSB1 - 9600/8/N/1/N,0,46"
06-07-2019 01:40:21.288,2073,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:22.778,2074,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:22.779,2075,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:22.779,2076,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:40:22.831,2077,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:40:23.773,2078,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:40:27.472,2079,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:30.833,2080,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:30.834,2081,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:30.834,2082,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:30.834,2083,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:30.834,2084,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:30.834,2085,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:40:31.540,2086,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:40:33.306,2087,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:40:34.780,2088,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:36.172,2089,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:37.665,2090,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:39.082,2091,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:40.535,2092,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:40.535,2093,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:40.536,2094,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:40.536,2095,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:41.227,2096,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:43.904,2097,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:40:45.316,2098,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:40:47.006,2099,RECV,7E0012920013A200416D73AFF951010100010000019A
